,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck,siguCd,dongCd
504,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,200,670
505,청학배수지,배수지,7.18,0.09,0.52,313.56,28.40,정상,200,670
506,해돋이배수지,배수지,7.65,0.09,0.39,275.80,31.20,정상,200,670
507,동삼부스타,펌프장,7.17,0.23,0.47,-,-,정상,200,670
508,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,200,660
509,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,200,660
510,청학배수지,배수지,7.18,0.09,0.52,313.56,28.40,정상,200,660
511,동삼부스타,펌프장,7.17,0.23,0.47,-,-,정상,200,660
512,해돋이배수지,배수지,7.65,0.09,0.39,275.80,31.20,정상,200,650
513,동삼부스타,펌프장,7.17,0.23,0.47,-,-,정상,200,650
514,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,200,650
515,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,200,650
516,청학배수지,배수지,7.18,0.09,0.52,313.56,28.40,정상,200,650
517,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,200,640
518,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,200,640
519,청학배수지,배수지,7.18,0.09,0.52,313.56,28.40,정상,200,640
520,해돋이배수지,배수지,7.65,0.09,0.39,275.80,31.20,정상,200,640
521,동삼부스타,펌프장,7.17,0.23,0.47,-,-,정상,200,640
522,청학2동,블록,7.36,0.08,0.58,278.04,28.50,정상,200,640
523,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,200,630
524,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,200,630
525,청학배수지,배수지,7.18,0.09,0.52,313.56,28.40,정상,200,630
526,영도배수지,배수지,7.33,0.07,0.32,194.91,28.91,정상,200,630
527,해돋이배수지,배수지,7.65,0.09,0.39,275.80,31.20,정상,200,630
528,청학1동,블록,7.36,0.08,0.58,278.04,28.50,정상,200,630
529,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,200,605
530,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,200,605
531,청학배수지,배수지,7.18,0.09,0.52,313.56,28.40,정상,200,605
532,영도배수지,배수지,7.33,0.07,0.32,194.91,28.91,정상,200,605
533,해돋이배수지,배수지,7.65,0.09,0.39,275.80,31.20,정상,200,605
534,봉래2동,블록,7.72,0.10,0.58,278.04,28.50,정상,200,605
535,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,200,590
536,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,200,590
537,봉래1동,블록,7.72,0.10,0.47,-,-,정상,200,590
538,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,200,585
539,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,200,585
540,청학배수지,배수지,7.18,0.09,0.52,313.56,28.40,정상,200,585
541,영도배수지,배수지,7.33,0.07,0.32,194.91,28.91,정상,200,585
542,신선동,블록,7.19,0.09,0.55,212.51,28.54,정상,200,585
543,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,200,570
544,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,200,570
545,연산배수지,배수지,7.11,0.10,0.19,249.23,29.23,정상,200,570
546,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,200,550
547,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,200,550
548,청학배수지,배수지,7.18,0.09,0.52,313.56,28.40,정상,200,550
549,영도배수지,배수지,7.33,0.07,0.32,194.91,28.91,정상,200,550
550,영선2동,블록,7.19,0.09,0.55,212.51,28.54,정상,200,550
551,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,200,540
552,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,200,540
553,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,200,530
554,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,200,530
555,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,680
556,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,170,680
557,영주배수지,배수지,7.26,0.09,0.37,241.18,28.77,정상,170,680
558,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,670
559,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,170,670
560,개금1배수지,배수지,7.24,0.10,0.51,223.11,30.40,정상,170,670
561,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,170,670
562,수정1배수지,배수지,7.29,0.07,0.31,299.83,29.85,정상,170,670
563,안창배수지,배수지,6.95,0.08,0.33,-,-,정상,170,670
564,범일4동,블록,7.21,0.09,0.44,230.64,27.60,정상,170,670
565,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,660
566,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,170,660
567,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,170,660
568,영주배수지,배수지,7.26,0.09,0.37,241.18,28.77,정상,170,660
569,개금1배수지,배수지,7.24,0.10,0.51,223.11,30.40,정상,170,660
570,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,650
571,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,170,650
572,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,170,650
573,개금1배수지,배수지,7.24,0.10,0.51,223.11,30.40,정상,170,650
574,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,170,650
575,영주배수지,배수지,7.26,0.09,0.37,241.18,28.77,정상,170,650
576,수정1배수지,배수지,7.29,0.07,0.31,299.83,29.85,정상,170,650
577,범일1동,블록,7.21,0.09,0.44,230.64,27.60,정상,170,650
578,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,640
579,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,170,640
580,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,170,640
581,좌천4동,블록,7.21,0.09,0.44,230.64,27.60,정상,170,640
582,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,610
583,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,170,610
584,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,170,610
585,개금1배수지,배수지,7.24,0.10,0.51,223.11,30.40,정상,170,610
586,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,170,610
587,영주배수지,배수지,7.26,0.09,0.37,241.18,28.77,정상,170,610
588,수정1배수지,배수지,7.29,0.07,0.31,299.83,29.85,정상,170,610
589,좌천1동,블록,7.24,0.06,0.15,-,-,정상,170,610
590,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,600
591,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,170,600
592,개금1배수지,배수지,7.24,0.10,0.51,223.11,30.40,정상,170,600
593,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,170,600
594,수정1배수지,배수지,7.29,0.07,0.31,299.83,29.85,정상,170,600
595,수정5동,블록,7.24,0.09,0.44,230.64,27.60,정상,170,600
596,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,590
597,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,170,590
598,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,170,590
599,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,580
600,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,170,580
601,개금1배수지,배수지,7.24,0.10,0.51,223.11,30.40,정상,170,580
602,수정1배수지,배수지,7.29,0.07,0.31,299.83,29.85,정상,170,580
603,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,570
604,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,170,570
605,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,170,570
606,영주배수지,배수지,7.26,0.09,0.37,241.18,28.77,정상,170,570
607,개금1배수지,배수지,7.24,0.10,0.51,223.11,30.40,정상,170,570
608,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,170,570
609,수정1배수지,배수지,7.29,0.07,0.31,299.83,29.85,정상,170,570
610,수정2동,블록,7.24,0.06,0.15,-,-,정상,170,570
611,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,560
612,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,170,560
613,개금1배수지,배수지,7.24,0.10,0.51,223.11,30.40,정상,170,560
614,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,170,560
615,수정1동,블록,7.17,0.08,0.58,279.02,30.20,정상,170,560
616,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,550
617,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,170,550
618,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,170,550
619,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,530
620,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,170,530
621,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,170,530
622,영주배수지,배수지,7.26,0.09,0.37,241.18,28.77,정상,170,530
623,개금1배수지,배수지,7.24,0.10,0.51,223.11,30.40,정상,170,530
624,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,170,530
625,초량3동,블록,7.17,0.08,0.58,279.02,30.20,정상,170,530
626,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,520
627,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,170,520
628,개금1배수지,배수지,7.24,0.10,0.51,223.11,30.40,정상,170,520
629,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,170,520
630,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,170,510
631,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,170,510
632,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,170,510
633,영주배수지,배수지,7.26,0.09,0.37,241.18,28.77,정상,170,510
634,개금1배수지,배수지,7.24,0.10,0.51,223.11,30.40,정상,170,510
635,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,140,680
636,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,140,680
637,남부민배수지,배수지,7.28,0.08,0.49,338.51,28.57,정상,140,680
638,감천배수지,배수지,7.07,0.08,0.28,295.75,29.10,정상,140,680
639,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,140,670
640,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,140,670
641,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,140,670
642,남부민배수지,배수지,7.28,0.08,0.49,338.51,28.57,정상,140,670
643,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,140,660
644,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,140,660
645,남부민배수지,배수지,7.28,0.08,0.49,338.51,28.57,정상,140,660
646,대티배수지,배수지,7.32,0.10,0.42,331.33,30.75,정상,140,660
647,남부민2동,블록,7.00,0.10,0.32,-,-,정상,140,660
648,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,140,650
649,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,140,650
650,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,140,650
651,남부민배수지,배수지,7.28,0.08,0.49,338.51,28.57,정상,140,650
652,대티배수지,배수지,7.32,0.10,0.42,331.33,30.75,정상,140,650
653,남부민1동,블록,7.27,0.10,0.57,256.71,28.50,정상,140,650
654,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,140,640
655,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,140,640
656,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,140,640
657,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,140,630
658,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,140,630
659,남부민배수지,배수지,7.28,0.08,0.49,338.51,28.57,정상,140,630
660,대티배수지,배수지,7.32,0.10,0.42,331.33,30.75,정상,140,630
661,초장동,블록,7.27,0.10,0.57,256.71,28.50,정상,140,630
662,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,140,615
663,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,140,615
664,대티배수지,배수지,7.32,0.10,0.42,331.33,30.75,정상,140,615
665,아미배수지,배수지,7.45,0.15,0.44,337.30,29.79,정상,140,615
666,대티2배수지,배수지,7.19,0.20,0.49,278.61,28.22,정상,140,615
667,아미동,블록,7.54,0.08,0.32,306.98,28.50,정상,140,615
668,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,140,590
669,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,140,590
670,대티배수지,배수지,7.32,0.10,0.42,331.33,30.75,정상,140,590
671,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,140,570
672,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,140,570
673,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,140,570
674,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,140,570
675,구덕배수지,배수지,7.81,0.07,0.35,-,30.90,정상,140,570
676,대티2배수지,배수지,7.19,0.20,0.49,278.61,28.22,정상,140,570
677,꽃마을배수지,배수지,7.91,0.07,0.01,282.30,27.00,정상,140,570
678,서대신4동,블록,7.60,0.10,0.20,337.90,29.29,정상,140,570
679,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,140,560
680,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,140,560
681,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,140,560
682,대티배수지,배수지,7.32,0.10,0.42,331.33,30.75,정상,140,560
683,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,140,560
684,대티2배수지,배수지,7.19,0.20,0.49,278.61,28.22,정상,140,560
685,서대신3동,블록,7.15,0.09,0.20,239.69,29.29,정상,140,560
686,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,140,540
687,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,140,540
688,대티배수지,배수지,7.32,0.10,0.42,331.33,30.75,정상,140,540
689,대티2배수지,배수지,7.19,0.20,0.49,278.61,28.22,정상,140,540
690,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,140,530
691,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,140,530
692,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,140,530
693,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,140,530
694,구덕배수지,배수지,7.81,0.07,0.35,-,30.90,정상,140,530
695,동대신3동,블록,7.15,0.36,0.53,-,-,정상,140,530
696,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,140,520
697,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,140,520
698,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,140,520
699,구덕배수지,배수지,7.81,0.07,0.35,-,30.90,정상,140,520
700,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,140,520
701,동대신2동,블록,7.15,0.36,0.53,-,-,정상,140,520
702,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,140,510
703,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,140,510
704,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,140,510
705,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,140,510
706,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,110,600
707,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,110,600
708,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,110,600
709,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,110,590
710,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,110,590
711,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,110,590
712,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,110,590
713,개금1배수지,배수지,7.24,0.10,0.51,223.11,30.40,정상,110,590
714,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,110,590
715,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,110,580
716,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,110,580
717,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,110,580
718,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,110,570
719,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,110,570
720,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,110,570
721,광복동,블록,6.98,0.12,0.58,-,-,정상,110,570
722,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,110,560
723,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,110,560
724,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,110,560
725,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,110,545
726,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,110,545
727,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,110,545
728,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,110,545
729,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,110,545
730,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,110,530
731,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,110,530
732,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,110,530
733,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,110,530
734,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,110,530
735,대청동,블록,7.28,0.12,0.58,370.00,29.60,정상,110,530
736,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,110,520
737,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,110,520
738,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,110,520
739,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,110,520
740,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,110,520
741,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,110,510
742,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,110,510
743,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,110,510
744,영주배수지,배수지,7.26,0.09,0.37,241.18,28.77,정상,110,510
